ID;Stream;Title;Year;Venue;Task or system;Evidence status;Local PDF;Canonical link;Use in this project
A07;algorithm;A Hybrid DenseNet-LSTM Model for Epileptic Seizure Prediction;2021;Applied Sciences;Prediction with DWT representation;local_primary;../papers_chbmit/08_ryu_2021_densenet_lstm_prediction.pdf;https://doi.org/10.3390/app11167661;Prediction only
A08;algorithm;Efficient Epileptic Seizure Prediction Based on Deep Learning;2019;IEEE TBioCAS;Patient-specific seizure prediction;online_primary;Not local;https://doi.org/10.1109/TBCAS.2019.2929053;TBioCAS prediction context only
A09;algorithm;INT8 Quantized Channel-Pruned 1D CNN for seizure detection;2026;arXiv preprint;Quantization pruning and sparsity;local_primary;../papers_chbmit/19_ahlawat_2026_int8_quant_channel_pruning_snn.pdf;https://arxiv.org/abs/2607.16296;Screening architecture idea and preprint only
A10;algorithm;EarSD lightweight wearable seizure detection;2024;arXiv preprint;Wearable low-channel detection;local_primary;../papers_chbmit/21_eard_2024_earsd_lightweight_wearable_seizure_detection.pdf;https://arxiv.org/abs/2401.05425;Wearable acquisition context
A11;algorithm;Real-Time Seizure Detection using EEG;2022;MLHC Proceedings;Continuous real-time detector;local_primary;../papers_chbmit/28_lee_2022_real_time_seizure_detection_eeg.pdf;https://proceedings.mlr.press/v174/lee22a.html;Continuous-evaluation context
A12;algorithm;Channel and frequency selection for CHB-MIT seizure detection;2026;Frontiers in Neurology;Selection and complexity reduction;local_primary;../papers_chbmit/30_frontiers_2026_channel_frequency_selection_chbmit.pdf;https://doi.org/10.3389/fneur.2026.1831912;Later channel-reduction ablation source
A13;algorithm;LMPSeizNet lightweight multiscale pyramid convolutional neural network;2024;Mathematics;Depthwise-separable EEG CNN;online_primary;Not local;https://doi.org/10.3390/math12233648;Compact CNN parameter context
A14;algorithm;SlimSeiz efficient channel-adaptive seizure prediction using a Mamba-enhanced network;2025;IEEE ISCAS;Channel-adaptive prediction;online_primary;Not local;https://arxiv.org/abs/2410.09998;Prediction and architecture context only
A15;algorithm;Seizure detection using EEG on the CHB-MIT dataset via multi-domain feature engineering and classical ML;2026;Discover Applied Sciences;Patient-exclusive classical ML;online_primary;Not local;https://doi.org/10.1007/s42452-026-08306-9;Patient-independent non-neural anchor
A16;algorithm;PSD-LW-DCN a generalizable PSD lightweight deep CNN for seizure detection;2026;Scientific Reports;Cross-subject PSD CNN;online_primary;Not local;https://doi.org/10.1038/s41598-026-44536-y;Closest compact cross-subject CNN context
A17;algorithm;Efficient Epileptic Seizure Detection Using CNN-Aided Factor Graphs;2021;arXiv;Leave-patients-out detection;online_primary;Not local;https://arxiv.org/abs/2108.02372;Generalization and structured-inference context
A18;algorithm;Epilepsy Seizure Detection and Prediction using an Approximate Spiking Convolutional Transformer;2024;IEEE ISCAS preprint;Raw-EEG spiking model;online_primary;Not local;https://arxiv.org/abs/2402.09424;Neuromorphic alternative only
A19;algorithm;Automated spectrographic seizure detection using convolutional neural networks;2019;Seizure;Spectrogram CNN detection;online_primary;Not local;https://doi.org/10.1016/j.seizure.2019.07.009;Feature-frontend comparator
A20;algorithm;Seizure detection by convolutional neural network-based analysis of scalp EEG plot images;2019;Seizure;Image-based EEG CNN and event outcomes;online_primary;Not local;https://pubmed.ncbi.nlm.nih.gov/30711680/;Representation comparator
H01;hardware;Seizure Detection and Prediction by Parallel Memristive Convolutional Neural Networks;2022;IEEE TBioCAS;CHB-MIT co-design with RRAM;local_primary;../papers_chbmit/09_li_2022_parallel_memristive_cnn_detection_prediction.pdf;https://doi.org/10.1109/TBCAS.2022.3185584;Primary TBioCAS co-design comparator
H02;hardware;Reducing False Alarms in Wearable Seizure Detection With EEGformer;2024;IEEE TBioCAS;Raw temporal EEG on Apollo4 GAP8 and GAP9;online_primary;Not local;https://doi.org/10.1109/TBCAS.2024.3357509;Primary FAR delay and edge-measurement comparator
H03;hardware;Wearable Epilepsy Seizure Detection on FPGA With Spiking Neural Networks;2025;IEEE TBioCAS;CHB-MIT FPGA SNN deployment;online_primary;Not local;https://doi.org/10.1109/TBCAS.2025.3575327;Closest published FPGA seizure-monitoring comparator
H04;hardware;Epileptic Seizure Detection on an Ultra-Low-Power Embedded RISC-V Processor Using a CNN;2021;Biosensors;CHB-MIT CNN deployed on GAP8;online_primary;Not local;https://doi.org/10.3390/bios11070203;Accuracy latency energy reporting comparator
H05;hardware;1D CNN FPGA accelerator using high-level synthesis;2022;Journal source in local corpus;Conv1D HLS design;local_primary;../papers_chbmit/25_alhammadi_2022_1dcnn_fpga_accelerator_hls.pdf;https://bura.brunel.ac.uk/bitstream/2438/25121/3/FullText.pdf;HLS loop and memory design reference
H06;hardware;FFNN architecture implementation on FPGA for seizure detection using EEG signals;2025;Applied Soft Computing;DWT features plus Verilog FPGA;online_primary;Not local;https://doi.org/10.1016/j.asoc.2025.113533;FPGA seizure comparator with incompatible protocol
H07;hardware;Compact seizure detection based on SNN and SVM for efficient neuromorphic implementation;2023;Biomedical Signal Processing and Control;Low-power SNN alternative;online_primary;Not local;https://doi.org/10.1016/j.bspc.2023.105268;Neuromorphic efficiency context
H08;hardware;Real-time sub-milliwatt epilepsy detection on a spiking neural network edge inference processor;2024;Computers in Biology and Medicine;SNN deployed on Xylo;online_primary;Not local;https://doi.org/10.1016/j.compbiomed.2024.109225;Measured low-power deployment context
M01;method;EEGNet a compact convolutional neural network for EEG-based brain-computer interfaces;2018;Journal of Neural Engineering;Depthwise and separable EEG CNN;local_primary;../papers_chbmit/16_lawhern_2018_eegnet_compact_cnn.pdf;https://arxiv.org/abs/1611.08024;Architecture rationale
M02;method;Deep learning with convolutional neural networks for EEG decoding and visualization;2017;Human Brain Mapping;Raw EEG CNN design;local_primary;../papers_chbmit/17_schirrmeister_2017_deep_cnn_eeg_decoding.pdf;https://arxiv.org/abs/1703.05051;Architecture rationale
M03;method;Quantization and Training of Neural Networks for Efficient Integer-Arithmetic-Only Inference;2018;CVPR;Integer-only quantization;local_primary;../papers_chbmit/18_jacob_2018_integer_only_quantization.pdf;https://openaccess.thecvf.com/content_cvpr_2018/html/Jacob_Quantization_and_Training_CVPR_2018_paper.html;Fixed-point arithmetic contract
M04;tool_or_standard;Vitis HLS C RTL Co-Simulation guidance;2026;AMD documentation;HLS verification workflow;tool_or_standard;Not applicable;https://docs.amd.com/r/en-US/ug1399-vitis-hls/Automatically-Verifying-the-RTL;C RTL agreement methodology
M05;tool_or_standard;MLPerf Tiny Benchmark;2021;NeurIPS Datasets and Benchmarks;Accuracy latency energy benchmark principle;tool_or_standard;Not applicable;https://arxiv.org/abs/2106.07597;Measurement-table rationale
T01;TBioCAS_review;From Seizure Detection to Smart and Fully Embedded Seizure Prediction Engine A Review;2020;IEEE TBioCAS;End-to-end embedded seizure-system review;online_primary;Not local;https://doi.org/10.1109/TBCAS.2020.3018465;TBioCAS problem framing
T02;TBioCAS_review;A Review of Algorithm and Hardware Design for AI-Based Biomedical Applications;2020;IEEE TBioCAS;Biomedical AI co-design review;online_primary;Not local;https://doi.org/10.1109/TBCAS.2020.2974154;Journal fit and hardware methodology
T03;TBioCAS_review;Closed-Loop Neural Prostheses With On-Chip Intelligence;2021;IEEE TBioCAS;On-chip ML and latency-aware brain-state detection;online_primary;Not local;https://doi.org/10.1109/TBCAS.2021.3112756;Closed-loop system context
T04;TBioCAS_review;Closed-Loop Implantable Neurostimulators for Individualized Treatment of Intractable Epilepsy;2024;IEEE TBioCAS;System-level epilepsy review;online_primary;Not local;https://doi.org/10.1109/TBCAS.2024.3456825;Clinical-system motivation only
T05;TBioCAS_current;Memristive Reservoir Computing Circuit for Real-Time Prediction of Epilepsy;2026;IEEE TBioCAS;Hardware prediction circuit;online_primary;Not local;https://doi.org/10.1109/TBCAS.2026.3662427;Current journal landscape and prediction only
